index,Order ID,Date,Status,Fulfilment,Sales Channel ,ship-service-level,Style,SKU,Category,Size,ASIN,Courier Status,Qty,currency,Amount,ship-city,ship-state,ship-country,B2B,fulfilled-by,Customer ID,Payment Method,Return Status,Product Rating,Customer Segment,Platform
0,405-8078784-5731545,4/30/2022,Cancelled,Merchant,Amazon.in,Standard,SET389,Unknown,Misc,S,B09KXVBD7Z,Unknown,0,INR,568.0,MUMBAI,MAHARASHTRA,IN,False,Merchant,CUST8270,COD,Not Returned,1,New,Web
1,171-9198151-1101146,4/30/2022,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3781,Unknown,Misc,3XL,B09K3WFS32,Shipped,1,INR,406.0,Unknown,Unknown,IN,False,Easy Ship,CUST1860,Credit Card,Not Returned,5,New,Web
2,404-0687676-7273146,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,JNE3371,Unknown,kurta,XL,B07WV4JV4D,Shipped,1,INR,329.0,Unknown,MAHARASHTRA,IN,True,Merchant,CUST6390,COD,Not Returned,4,New,Web
3,403-9615377-8133951,4/30/2022,Cancelled,Merchant,Amazon.in,Standard,J0341,J0341-DR-L,Misc,L,B099NRCT7B,Unknown,0,INR,753.33,Unknown,PUDUCHERRY,Unknown,False,Merchant,CUST6191,COD,Not Returned,4,Regular,Web
4,407-1069790-7240320,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,JNE3671,Unknown,Top,3XL,B098714BZP,Unknown,1,INR,568.0,CHENNAI,Unknown,IN,False,Merchant,CUST6734,COD,Not Returned,5,New,Mobile
5,404-1490984-4578765,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,SET264,Unknown,Set,XL,B08YN7XDSG,Unknown,1,INR,568.0,Unknown,UTTAR PRADESH,Unknown,False,Merchant,CUST7265,COD,Not Returned,1,New,Web
6,408-5748499-6859555,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,J0095,Unknown,Misc,L,B08CMHNWBN,Shipped,1,INR,653.0,Unknown,Unknown,IN,False,Merchant,CUST1466,COD,Not Returned,4,Regular,App
7,406-7807733-3785945,4/30/2022,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3405,JNE3405-KR-S,kurta,S,B081WX4G4Q,Unknown,1,INR,399.0,Unknown,TELANGANA,IN,False,Easy Ship,CUST5426,COD,Not Returned,4,New,Mobile
8,407-5443024-5233168,4/30/2022,Cancelled,Amazon,Amazon.in,Expedited,SET200,SET200-KR-NP-A-XXXL,Set,3XL,B08L91ZZXN,Unknown,0,INR,568.0,Unknown,Unknown,Unknown,False,Merchant,CUST6578,Wallet,Not Returned,4,New,Mobile
9,402-4393761-0311520,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,JNE3461,Unknown,kurta,XXL,B08B3XF5MH,Shipped,1,INR,568.0,Unknown,TAMIL NADU,IN,False,Merchant,CUST9322,Credit Card,Not Returned,3,New,Web
10,407-5633625-6970741,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,JNE3160,JNE3160-KR-G-S,kurta,S,B07K3YQLF1,Unknown,1,INR,685.0,Unknown,TAMIL NADU,Unknown,False,Merchant,CUST2685,Credit Card,Not Returned,5,Regular,Web
11,171-4638481-6326716,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,JNE3500,Unknown,Misc,XS,B098117DJ3,Shipped,1,INR,568.0,Unknown,UTTAR PRADESH,IN,False,Merchant,CUST1769,Credit Card,Not Returned,3,New,Mobile
12,405-5513694-8146768,4/30/2022,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3405,JNE3405-KR-XS,kurta,XS,B081XCMYXJ,Unknown,1,INR,568.0,Unknown,MAHARASHTRA,IN,False,Merchant,CUST7949,COD,Not Returned,2,New,Mobile
13,408-7955685-3083534,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,SET182,SET182-KR-DH-XS,Set,XS,B085HS947T,Shipped,1,INR,568.0,Unknown,Unknown,Unknown,False,Merchant,CUST3433,Wallet,Not Returned,4,New,Web
14,408-1298370-1920302,4/30/2022,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,J0351,J0351-SET-L,Misc,L,B09CSSQY4F,Shipped,1,INR,568.0,Unknown,MAHARASHTRA,Unknown,False,Easy Ship,CUST6311,Credit Card,Not Returned,4,New,Mobile
15,403-4965581-9520319,4/30/2022,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,PJNE3368,Unknown,kurta,6XL,B09PY99SVJ,Unknown,1,INR,568.0,Unknown,ANDHRA PRADESH,Unknown,False,Easy Ship,CUST6051,COD,Not Returned,5,New,Mobile
16,406-9379318-6555504,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,JNE3721,JNE3721-KR-XXL,Misc,XXL,B099FCT65D,Unknown,1,INR,329.0,Unknown,RAJASTHAN,Unknown,False,Merchant,CUST7420,COD,Not Returned,5,New,Mobile
17,405-9013803-8009918,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,JNE3405,Unknown,Misc,XL,B081WT6GG7,Unknown,1,INR,568.0,Unknown,DELHI,Unknown,False,Merchant,CUST2184,Credit Card,Not Returned,4,New,Web
18,402-4030358-5835511,4/30/2022,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3697,Unknown,Misc,XXL,B098133PV5,Shipped,1,INR,568.0,Gurgaon,Unknown,IN,False,Merchant,CUST5555,Credit Card,Not Returned,3,New,Web
19,405-5957858-1051546,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,SET254,SET254-KR-NP-XS,Set,XS,B0983DDPL6,Unknown,1,INR,568.0,BENGALURU,Unknown,IN,False,Merchant,CUST4385,Credit Card,Not Returned,5,New,Web
20,405-0607769-0716360,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,JNE3795,JNE3795-KR-XXXL,Misc,3XL,B09HMXJVFS,Shipped,1,INR,517.0,TIRUCHIRAPPALLI,TAMIL NADU,IN,False,Merchant,CUST7396,COD,Not Returned,3,Regular,Web
21,404-8494550-5860325,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,SET345,Unknown,Set,M,B09KXV4BN8,Unknown,1,INR,568.0,BENGALURU,Unknown,Unknown,False,Merchant,CUST9666,COD,Not Returned,1,New,Mobile
22,171-1305077-2813934,4/30/2022,Shipped,Amazon,Amazon.in,Expedited,JNE3373,Unknown,kurta,L,B082W7GVH7,Shipped,1,INR,376.0,HYDERABAD,Unknown,IN,False,Merchant,CUST3558,COD,Not Returned,3,New,Web
